Sr. No.,Symbol,Company Name,"Market capitalization as on March 28, 2024
(In lakhs)"
1.0,RELIANCE,Reliance Industries Limited,201056022.44887602
2.0,TCS,Tata Consultancy Services Limited,140247926.46023402
3.0,HDFCBANK,HDFC Bank Limited,109991524.325625
4.0,ICICIBANK,ICICI Bank Limited,76765684.662095
5.0,BHARTIARTL,Bharti Airtel Limited,69478399.828022
6.0,SBIN,State Bank of India,67144317.885449
7.0,INFY,Infosys Limited,62179773.923295
8.0,LICI,Life Insurance Corporation Of India,57946466.43771151
9.0,ITC,ITC Limited,53464377.653102
10.0,HINDUNILVR,Hindustan Unilever Limited,53202969.741097
11.0,LT,Larsen & Toubro Limited,51739685.697462
12.0,BAJFINANCE,Bajaj Finance Limited,44847830.8748
13.0,HCLTECH,HCL Technologies Limited,41886777.589308
14.0,MARUTI,Maruti Suzuki India Limited,39615824.733008996
15.0,SUNPHARMA,Sun Pharmaceutical Industries Limited,38882422.856335
16.0,ADANIENT,Adani Enterprises Limited,36446975.839491
17.0,KOTAKBANK,Kotak Mahindra Bank Limited,35493864.40367
18.0,TITAN,Titan Company Limited,33751854.23088
19.0,ONGC,Oil & Natural Gas Corporation Limited,33721438.411683
20.0,TATAMOTORS,Tata Motors Limited,32993242.212424
21.0,NTPC,NTPC Limited,32561404.877972003
22.0,AXISBANK,Axis Bank Limited,32316521.806183998
23.0,DMART,Avenue Supermarts Limited,29449575.725408
24.0,ADANIGREEN,Adani Green Energy Limited,29069372.020017
25.0,ADANIPORTS,Adani Ports and Special Economic Zone Limited,28985824.4334825
26.0,ULTRACEMCO,UltraTech Cement Limited,28144844.922926
27.0,ASIANPAINT,Asian Paints Limited,27305963.086825
28.0,COALINDIA,Coal India Limited,26752403.667507
29.0,BAJAJFINSV,Bajaj Finserv Limited,26227442.8525005
30.0,BAJAJ-AUTO,Bajaj Auto Limited,25905708.848513998
31.0,POWERGRID,Power Grid Corporation of India Limited,25753371.974811003
32.0,NESTLEIND,Nestle India Limited,25283575.28526
33.0,WIPRO,Wipro Limited,25085189.775062997
34.0,M&M,Mahindra & Mahindra Limited,23892541.1944185
35.0,IOC,Indian Oil Corporation Limited,23688377.3874825
36.0,JIOFIN,Jio Financial Services Limited,22474742.81505
37.0,HAL,Hindustan Aeronautics Limited,22250144.25
38.0,DLF,DLF Limited,22203575.87292
39.0,ADANIPOWER,Adani Power Limited,20588340.067058
40.0,JSWSTEEL,JSW Steel Limited,20302158.825732
41.0,TATASTEEL,Tata Steel Limited,19455577.096003503
42.0,SIEMENS,Siemens Limited,19138080.5638275
43.0,IRFC,Indian Railway Finance Corporation Limited,18603018.291
44.0,VBL,Varun Beverages Limited,18173275.015518002
45.0,ZOMATO,Zomato Limited,16060826.197824
46.0,PIDILITIND,Pidilite Industries Limited,15333045.77298
47.0,GRASIM,Grasim Industries Limited,15061395.336298
48.0,SBILIFE,SBI Life Insurance Company Limited,15023154.751885
49.0,BEL,Bharat Electronics Limited,14729204.340435
50.0,LTIM,LTIMindtree Limited,14625731.814696
51.0,TRENT,Trent Limited,14034644.96028
52.0,PNB,Punjab National Bank,13697703.354152
53.0,INDIGO,InterGlobe Aviation Limited,13697032.747198502
54.0,BANKBARODA,Bank of Baroda,13654981.8336495
